System,Phase,Success (%),Mean Duration (s),Median Duration (s),IQR Duration (s),Mean Prompt Tokens,Mean Completion Tokens
S1,File Localization,100.0,16.83,13.91,6.94,4401,425
S1,Element Localization,100.0,18.20,14.14,6.56,6597,231
S1,Patch Generation,100.0,31.50,21.95,10.94,4492,467
S2,File Localization,100.0,11.69,11.14,4.18,3573,575
S2,Element Localization,100.0,16.80,11.53,5.18,5996,290
S2,Patch Generation,100.0,18.55,15.56,10.90,3972,557
S3,File Localization,100.0,10.74,7.97,5.52,30933,214
S3,Element Localization,100.0,16.80,9.10,6.35,32895,266
S3,Patch Generation,100.0,18.54,13.21,7.73,30606,465
S4,File Localization,100.0,6.03,5.11,1.63,3576,263
S4,Element Localization,100.0,16.85,5.73,1.79,5936,283
S4,Patch Generation,100.0,15.61,9.57,6.38,2976,457
